,0
0,3.2492110246642736
1,1.998773638612381
2,0.0
3,6.616439947564594
4,1.0152306797290587
5,0.0
6,0.0
7,3.5655812377694427
8,0.0
9,0.0
10,2.3942522815198695
11,0.0
12,1.7850704810772584
13,3.6381123370602833
14,0.0
15,0.6981347220709844
16,0.0
17,0.0
18,0.0
19,0.0
20,4.471067201464611
21,2.128231705849268
22,0.9001613499442714
23,0.0
24,0.0
25,0.0
26,0.4762341789963716
27,2.528125768907977
28,1.144222799920162
29,0.0
30,0.0
31,2.93651291389402
32,0.0
33,2.3767644911682972
34,1.000631880307906
35,0.0
36,0.0
37,1.1568811967920856
38,0.0
39,0.0
40,0.0
41,0.0
42,2.020222182019865
43,4.669646205172456
44,0.0
45,0.08617769624105233
46,0.19062035960864973
47,0.0
48,1.463255402256019
49,1.3987168811184478
50,0.0
51,0.0
52,2.300583090323373
53,3.726656818447966
54,0.2151113796169455
55,2.2731562823032334
56,0.0
57,0.0
58,1.1908875647772805
59,1.430311246536665
60,1.6582280766035324
61,0.0
62,0.0
63,1.3270750014599193
64,0.0
65,1.7263316639055997
66,2.9014215940827497
67,0.0
68,0.0
69,1.8213182714695995
70,2.3427668826268775
71,0.0
72,1.5040773967762742
73,3.7812307151781224
74,0.0
75,2.745345985845907
76,0.0
77,0.0
78,0.0
79,1.1019400787607843
80,1.5644405465033646
81,0.8878912573524571
82,5.049086480470509
83,2.428336298299606
84,0.0
85,0.0
86,3.4170707308184456
87,0.0
88,0.0
89,0.3074846997479606
90,1.2919836816486494
91,0.0
92,0.0
93,0.7419373447293773
94,2.231089091288976
95,0.0
96,0.0
97,0.9669838461896731
98,2.2874714551839976
99,0.0
100,0.0
101,4.08260930600368
102,0.9707789171582247
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,5.633109621361155
110,0.0
111,0.0
112,4.648133885420207
113,2.405141681319138
114,0.0
115,0.0
116,2.8524391037275145
117,3.966132331075178
118,2.329227023940467
119,2.199444334074532
120,0.0
121,2.3988039507345884
122,0.0
123,1.2669476034873244
124,3.007166651179654
125,0.0
126,0.0
127,0.0
128,2.0744289998562917
129,0.0
130,0.0
131,0.0
132,2.5726122302071057
133,0.8020015854720274
134,1.8946168546677629
135,2.462149662665384
136,5.285637313390662
137,1.244154593958768
138,0.0
139,2.1234584270966104
140,0.9400072584914712
141,0.9707789171582247
142,3.389799336709786
143,0.0
144,2.105352923464337
145,0.0
146,0.0
147,0.0
148,0.9001613499442714
149,0.0
150,2.1162555148025524
151,0.0
152,2.7936160894318567
153,2.4898941912990393
154,0.0
155,1.2556160374777743
156,0.8671004876833833
157,0.0
158,0.0
159,2.3711778844596574
160,1.1085626195212777
161,4.129228964075603
162,0.0
163,2.613006652415316
164,1.4350845252893227
165,0.0
166,2.1174596088673567
167,3.228430037673012
168,1.8453002361560848
169,0.0
170,4.427836170705175
171,0.0
172,0.0
173,4.267176792994939
174,0.5187937934151676
175,0.0
176,0.0
177,1.1216775615991057
178,0.0
179,2.503073953743449
180,0.9400072584914712
181,0.0
182,1.0116009116784799
183,0.0
184,1.0986122886681098
185,1.9416152247724325
186,0.0
187,0.3852624007906449
188,0.9242589015233319
189,3.607669398688393
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,2.0294631718735947
197,0.0
198,0.9477893989335261
199,4.04375277610604
200,1.6863989535702288
201,2.0068708488450007
202,3.4442568711226023
203,0.0
204,0.0
205,1.951608170169951
206,0.0
207,0.0
208,2.166765369851511
209,2.498151876538021
210,0.0
211,2.2235418856535927
212,0.0
213,0.0
214,0.15700374880966475
215,1.5085119938441398
216,0.6729444732424258
217,0.5187937934151676
218,2.50470927708418
219,0.0
220,0.0
221,0.0
222,2.511223958105374
223,0.7371640659767197
224,1.144222799920162
225,5.229824370102736
226,0.0
227,0.0
228,1.235471471385307
229,2.1972245773362196
230,2.084429083190875
231,1.6882490928583902
232,0.8285518175661483
233,0.0
234,1.5325568680981427
235,0.0
236,1.0116009116784799
237,0.0
238,0.0
239,1.8625285401162623
240,2.578700529074361
241,5.168379509433644
242,0.7514160886839212
243,0.0
244,1.597365331199831
245,0.0
246,0.0
247,3.492256112609122
248,0.0
249,2.642622395779755
250,3.4986265269937014
251,2.174751721484161
252,0.7839015438284094
253,0.0
254,2.3997118037247684
255,0.0
256,1.7833912195575383
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,1.5496879080283263
263,2.2700619012884857
264,0.35767444427181594
265,0.0
266,0.0
267,0.0
268,0.0
269,2.102913897864978
270,1.4327007339340463
271,3.8649313978942956
272,2.5006159434931803
273,1.3056264580524357
274,0.0
275,0.0
276,0.0
277,0.0
278,1.0784095813505903
279,0.0
280,1.7387102481382397
281,0.0
282,5.307970623576175
283,0.0
284,0.0
285,1.1537315878891892
286,0.28517894223366236
287,0.0
288,4.280824129164719
289,0.0
290,2.1377104498038118
291,0.6418538861723948
292,0.0
293,0.5364933705145685
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,1.3217558399823195
301,3.4397768636296306
302,0.0
303,1.3190856114264407
304,0.0
305,0.0
306,0.5653138090500605
307,0.0
308,1.8531680973566984
309,0.0
310,0.0
311,0.0
312,0.0
313,1.0818051703517284
314,0.0
315,0.0
316,4.012592060349841
317,0.0
318,3.311637304949512
319,2.4898941912990393
320,0.41871033485818504
321,0.0
322,0.0
323,0.0
324,1.208960345836975
325,0.3435897043900769
326,0.41871033485818504
327,0.0
328,1.9960599327407849
329,3.902982260775997
330,0.9593502213346021
331,0.0
332,3.392492941032009
333,0.0
334,0.0
335,0.0
336,1.4586150226995167
337,0.0
338,0.0
339,0.0
340,1.4036429994545037
341,0.0
342,1.3686394258811698
343,1.4701758451005928
344,0.0
345,0.0
346,0.0
347,2.8118094353930627
348,0.0
349,2.727199019940971
